sample,time_s,rpm,crank_phase_deg,cylinder,bank
37617,0.852993197,5409.279,144.162994,1,A
37715,0.855215420,5411.320,216.300461,6,B
37813,0.857437642,5413.365,288.465149,2,A
37911,0.859659864,5415.415,360.657135,7,B
38008,0.861859410,5417.448,432.139435,3,A
38106,0.864081633,5419.506,504.385925,8,B
38204,0.866303855,5421.570,576.659912,4,A
38301,0.868503401,5423.616,648.223511,9,B
38399,0.870725624,5425.688,0.552343,0,A
38496,0.872925170,5427.744,72.170372,5,B
38594,0.875147392,5429.826,144.554306,1,A
38691,0.877346939,5431.890,216.226990,6,B
38789,0.879569161,5433.980,288.666260,2,A
38886,0.881768707,5436.054,360.393829,7,B
38983,0.883968254,5438.132,432.148804,3,A
39081,0.886190476,5440.236,504.671417,8,B
39178,0.888390023,5442.323,576.481628,4,A
39275,0.890589569,5444.414,648.319397,9,B
39372,0.892789116,5446.510,0.184831,0,A
39469,0.894988662,5448.610,72.077934,5,B
39567,0.897210884,5450.736,144.740387,1,A
39664,0.899410431,5452.845,216.689316,6,B
39761,0.901609977,5454.958,288.666107,2,A
39858,0.903809524,5457.076,360.670837,7,B
39955,0.906009070,5459.198,432.703552,3,A
40051,0.908185941,5461.303,504.021240,8,B
40148,0.910385488,5463.434,576.109802,4,A
40245,0.912585034,5465.569,648.226440,9,B
40342,0.914784580,5467.708,0.371366,0,A
40439,0.916984127,5469.853,72.544533,5,B
40535,0.919160998,5471.979,144.001526,1,A
40632,0.921360544,5474.132,216.231110,6,B
40729,0.923560091,5476.289,288.489136,2,A
40825,0.925736961,5478.428,360.030273,7,B
40922,0.927936508,5480.594,432.345032,3,A
41019,0.930136054,5482.764,504.688446,8,B
41115,0.932312925,5484.916,576.314209,4,A
41212,0.934512472,5487.094,648.714722,9,B
41308,0.936689342,5489.255,0.397141,0,A
41404,0.938866213,5491.420,72.107811,5,B
41501,0.941065760,5493.611,144.594223,1,A
41597,0.943242630,5495.785,216.361847,6,B
41693,0.945419501,5497.962,288.157898,2,A
41790,0.947619048,5500.167,360.730743,7,B
41886,0.949795918,5502.353,432.584076,3,A
41982,0.951972789,5504.543,504.465973,8,B
42078,0.954149660,5506.738,576.376526,4,A
42174,0.956326531,5508.937,648.315796,9,B
42270,0.958503401,5511.140,0.283779,0,A
42366,0.960680272,5513.347,72.280571,5,B
42462,0.962857143,5515.559,144.306229,1,A
42558,0.965034014,5517.774,216.360779,6,B
42654,0.967210884,5519.994,288.444305,2,A
42750,0.969387755,5522.218,360.556854,7,B
42846,0.971564626,5524.446,432.698486,3,A
42941,0.973718821,5526.655,504.117310,8,B
43037,0.975895692,5528.892,576.316956,4,A
43133,0.978072562,5531.133,648.545837,9,B
43228,0.980226757,5533.354,0.051166,0,A
